Part,Description,Quantity,Manufacturer,Part Number,Datasheet,Price (EGP),Total Price
Microcontroller,ATmega32-16AU SMD IC TQFP-44(10x10),1,TEM,ATmega32-16AU,"https://ww1.microchip.com/downloads/aemDocuments/OTH/ProductDocuments/DataS heets/Atmel-8226-ZigBit-2.4GHz-Wireless-Modules-ATZB-24-A2B0_Datasheet.pdf",265,265
DC motor,mini dc gearbox with back shift,1,Handson Technology,FAMIO29,"https://handsontec.com/dataspecs/motor_fan/Dual %20Shaft%20Mini%20Gear%20Motor.pdf",85,350
Motor driver,L9110,1,Future electronics,L9110,"https://www.laskakit.cz/user/related_files/19110_2 _channel_motor_driver.pdf",60,410
Switch,Tactile push button switch,3,Multicomp,MCDT S2-4N,"https://www.farnell.com/datasheets/1662341.pdf",2,416
Copper Wire,Copper PCB Soldering wire 0.10mm,1,PPA,BO9PZ 9QVT1,"https://www.canman.ch/wp-content/uploads/2017/07/Copper_Wire_Specificat ion.pdf",12,428
PCB,printed circuit board (FR4 Circuit Board 10X7 cm),1,N/A,N/A,N/A,15,15
LCD,Character LCD 2x16 with blue backlight,1,Hitachi,HD44780,"https://circuitdigest.com/article/16x2-led-display-module-pinout-datasheet",75,503
Digital temperature sensor,DS18B20,1,Makers electronics,DS18B20,"https://www.analog.com/media/en/technical-documentation/data-sheets/DS18B20.pdf",175,678
Battery,9V,1,Varta,4922,"https://www.mega-piles.com/im/VARTA-6LR61- 9V-580mAh-HIGH-ENERGY_12.pdf",35,713
Battery clip,-,-,-,MC002493,"https://www.farnell.com/datasheets/3179133.pdf",9,722
I2C LCD,Serial I2C LCD,1,diymore,030007LA,"https://www.makershop.de/download/I2C-LCD- interface.pdf",60,782
